27205
572	95	2
571	110	2
432	94	2
177	107	2
48	507	1
150	83	2
443	80	2
269	120	2
67	326	1
269	106	2
10	95	0
546	116	2
30	95	0
185	94	2
528	104	2
382	88	2
425	90	2
71	204	1
204	94	2
221	116	2
51	88	0
410	125	2
1	80	0
297	109	2
294	116	2
481	93	2
246	116	2
528	94	2
453	90	2
7	89	0
209	85	2
4	111	0
571	110	2
150	116	2
580	109	2
534	85	2
559	83	2
204	89	2
432	95	2
36	121	0
74	83	0
210	86	2
562	94	2
152	104	2
30	80	0
584	94	2
40	345	1
397	99	2
348	81	2
204	124	2
55	80	0
212	87	2
500	85	2
55	492	1
48	269	1
534	100	2
348	101	2
30	411	1
67	88	0
526	110	2
55	85	0
508	80	2
55	121	0
55	559	1
34	109	0
534	99	2
61	111	0
331	93	2
425	94	2
204	89	2
39	101	0
164	90	2
526	111	2
55	95	0
30	100	0
235	103	2
490	83	2
55	121	0
23	94	0
39	120	0
534	109	2
163	89	2
300	114	2
423	111	2
56	183	1
164	88	2
235	94	2
39	94	0
447	110	2
348	88	2
554	94	2
16	119	0
584	100	2
379	100	2
218	96	2
572	121	2
559	80	2
163	80	2
379	121	2
56	329	1
269	100	2
534	116	2
330	95	2
75	116	0
379	111	2
571	121	2
152	89	2
7	89	0
61	218	1
481	114	2
323	109	2
320	120	2
204	110	2
9	86	0
269	83	2
185	94	2
30	83	0
318	120	2
435	109	2
331	82	2
348	98	2
20	116	0
42	447	1
185	94	2
55	80	0
554	83	2
397	112	2
587	104	2
378	128	2
30	534	1
169	111	2
269	120	2
2	85	0
331	110	2
572	95	2
555	123	2
481	116	2
204	128	2
218	88	2
46	103	0
55	218	1
72	107	0
321	121	2
382	118	2
34	116	0
18	116	0
300	116	2
221	121	2
55	121	0
38	100	0
571	85	2
348	106	2
35	115	0
40	124	0
235	104	2
318	114	2
348	128	2
163	124	2
492	80	2
559	110	2
490	101	2
559	89	2
326	88	2
55	89	0
331	99	2
46	116	0
326	116	2
245	88	2
382	121	2
492	116	2
490	88	2
72	101	0
519	109	2
382	115	2
366	120	2
204	120	2
331	121	2
318	99	2
630	95	2
51	490	1
348	120	2
528	83	2
4	93	0
55	121	0
632	110	2
163	104	2
435	83	2
435	94	2
326	98	2
492	109	2
379	80	2
348	101	2
329	91	2
55	105	0
55	111	0
16	95	0
604	109	2
331	106	2
71	116	0
30	121	0
379	114	2
204	105	2
331	114	2
55	110	0
226	106	2
55	121	0
163	83	2
571	110	2
76	106	0
45	348	1
579	109	2
331	96	2
492	89	2
27	106	0
555	104	2
492	113	2
329	94	2
379	118	2
55	110	0
534	95	2
72	107	0
204	123	2
55	121	0
210	121	2
152	106	2
163	95	2
391	101	2
605	98	2
269	88	2
40	124	0
0	323	1
246	83	2
22	226	1
185	120	2
30	89	0
404	124	2
75	272	1
508	101	2
379	98	2
534	116	2
55	110	0
609	114	2
554	89	2
58	204	1
185	124	2
55	492	1
382	120	2
379	116	2
46	83	0
185	124	2
382	112	2
30	81	0
609	114	2
50	95	0
55	121	0
432	106	2
17	379	1
492	90	2
534	117	2
55	89	0
137	94	2
435	118	2
55	80	0
269	93	2
0	109	0
363	97	2
579	111	2
5	99	0
55	85	0
336	95	2
179	120	2
605	126	2
23	336	1
379	124	2
554	120	2
331	85	2
269	116	2
27	114	0
348	116	2
513	116	2
6	111	0
423	95	2
55	80	0
36	113	0
35	83	0
379	89	2
76	160	1
331	105	2
185	88	2
397	89	2
204	81	2
357	94	2
425	116	2
4	185	1
246	118	2
517	95	2
204	116	2
204	123	2
204	109	2
571	123	2
55	89	0
246	105	2
163	89	2
163	121	2
534	104	2
534	120	2
391	101	2
204	117	2
300	119	2
435	121	2
435	116	2
492	89	2
432	89	2
5	572	1
38	116	0
348	94	2
479	109	2
55	571	1
33	83	0
269	97	2
500	80	2
363	116	2
235	111	2
551	117	2
246	88	2
320	96	2
269	95	2
621	109	2
55	85	0
269	124	2
584	114	2
53	356	1
632	121	2
413	82	2
30	121	0
331	121	2
34	106	0
517	80	2
572	89	2
46	93	0
269	116	2
55	152	1
269	83	2
435	116	2
55	117	0
212	83	2
55	95	0
464	94	2
551	121	2
441	80	2
331	124	2
425	95	2
51	120	0
137	93	2
297	110	2
52	212	1
51	100	0
562	111	2
55	151	1
19	121	0
526	93	2
517	80	2
64	454	1
492	125	2
18	116	0
9	88	0
204	85	2
53	204	1
518	121	2
163	100	2
423	88	2
332	88	2
373	123	2
391	94	2
42	106	0
517	89	2
163	95	2
572	117	2
300	119	2
3	116	0
204	123	2
269	116	2
55	492	1
348	94	2
331	109	2
397	121	2
416	94	2
399	120	2
435	105	2
2	123	0
435	84	2
379	116	2
413	89	2
51	111	0
572	94	2
326	126	2
2	85	0
218	99	2
331	80	2
204	98	2
435	114	2
51	85	0
451	114	2
534	104	2
330	89	2
163	89	2
22	103	0
348	101	2
33	104	0
331	125	2
55	185	1
632	121	2
27	136	1
379	114	2
432	101	2
210	123	2
572	123	2
55	121	0
379	100	2
30	81	0
30	80	0
447	121	2
571	90	2
266	83	2
500	89	2
624	120	2
28	104	0
41	159	1
150	89	2
534	124	2
10	123	0
402	110	2
510	94	2
17	534	1
447	116	2
331	94	2
269	117	2
